Brand Id,Brand English,Brand Arabic
245,Creamsilk,كريم سيلك
246,Creme 21,كريم 21
247,Crest,كرست
254,Dana,دانا
256,Dandy,داندي
257,Dat-Schaub,دات شواب
258,Davidoff,دافيدوف
259,Deep Heat,ديب هيت
260,Delice,ديلايس
261,Delicio,ديليسيو
262,Del Monte,ديل مونتي
263,Denim,دينيم
264,Dettol,ديتول
265,Dilmah,دلما
267,Ding Dong,دينغ دونغ
272,Dolly's,دوللي
273,Dona Maria,دونا ماريا
274,Doritos,دوريتوس
277,Dove,دوف
278,Downy,داوني
280,Duncan Hines,دنكان هاينز
282,Durex,ديوركس
285,Efficascent,إيفيكاسنت
289,El Mazraa,المزرعة
291,Elvan,إيلفان
292,Emami,إمامي
297,English Blazer,إنجلش بلاذر
298,Enliven,إنلفين
299,Eno,إينو
302,Eskinol,اسكينول
306,Evervess,إيفرفيس
307,Evian,إيفيان
308,Fa,فا
312,Fair&Lovely,فير آند لفلي
313,Fairy,فيري
315,Fam,فام
318,Fanta,فانتا
320,Fantastic,فانتاستيك
322,Febreze,فيبريز
324,Femfresh,فيمفريش
325,Ferrero Rocher,فيريرو روشيه
326,Figaro,فيجارو
327,Fiji,فيجي
329,Fine,فاين
333,Fogg,فوج
334,Fonzies,فونزايس
335,Foody's,فودي
337,Freez,فريز
338,Freshdays,فريش دايز
341,Galaxy,جالاكسي
342,Gandour,غندور
343,Garnier,غارنييه
345,Gatorade,جاتوراد
346,Gaviscon,جافيسكون
347,Gerber,جربر
348,Ghadeer,غدير
349,Gillette,جيليت
350,Glade,جليد
355,Glysolid,جليسوليد
356,Godiva,جوديفا
363,Gourmet,جورميه
366,Granoro,جرانورو
367,Grb,جي أر بي
368,Green Cross,الصليب الأخضر
369,Green Giant,العملاق الأخضر
370,Haagen Dazs,هاجن داز
372,Halls,هولز
374,Haribo,هاريبو
375,Harpic,هاربيك
377,Head&Shoulders,هيد أند شولدرز
378,Heinz,هاينز
379,Hellmanns,هيلمانز
380,Herbal Essences,هيربال إيسينس
381,Hero Baby,هيرو بيبي
382,Hersheys,هيرشي
383,Hi Geen,هاي جين
384,Highland Spring,هايلاند سبرينغ
388,Hi-Tea,هاي تي
390,Huggies,هجيز
391,Ice Cool,أيس كول
394,India Gate,إنديا جيت
396,Indofood,إندوفود
397,Indomie,إندومي
400,Jack n Jill,جاك أند جيل
401,Jacobs,جاكوبس
403,Jelido,جيليدو
406,Jif,جيف
407,Johnson's,جونسون
408,Jolly Time,دولي تايم
410,Jouf,جوف
412,Jus Cool,جوس كول
413,Kasih,الكسيح
415,KDD,كي دي دي
416,Kelloggs,كيلوجز
417,Kenton,كنتون
418,Kerrygold,كيريجولد
421,Kikkoman,كيكومان
423,Kinder,كيندر
425,Kiri,كيري
427,Kitco,كيتكو
428,Kitkat,كيت كات
429,Kiwi,كيوي
431,Knorr,كنور
433,Koita,كويتا
434,Kojie-san,كوجي سان
435,Koka,كوكا
438,Kotex,كوتكس
439,Kraft,كرافت
441,Lady's Choice,ليديز تشويس
444,Langnese,لانجنيز
447,La Vache Qui Rit,لافاش كي ري
448,Lays,لايز
449,Lazzat,لذات
453,L'epi D'or,ليبي دور
454,Leslie's,ليزلي
457,Libbys,ليبيز
458,Lifebuoy,لايف بوي
460,Likas,ليكاس
462,Lindt,ليندت
463,Lion,لايون
464,Lipton,ليبتون
465,Listerine,ليسترين
466,Loacker,لوكر
468,L'Oreal,لوريال
470,Lotte,لوت
471,Lotus,لوتس
473,Lucky Me,لاكي مي
475,Lurpak,لورباك
476,Lux,لوكس
478,Maccaw,ماكاو
481,Maggi,ماجي
485,Mang Tomas,مانغ توماس
487,Mars,مارس
488,Master Chips,ماستر شيبس
489,Maxi-peel,ماكسي بيل
491,Maxwell House,ماكسويل هاوس
492,Mazola,مازولا
493,Mazzraty,مازيراتي
494,McCain,ماكين
495,McFine,ماكفاين
497,McVities,مكفيتيز
501,Mentos,مينتوس
502,MF,إم إف
503,Millac,ميلاك
504,Milo,ميلو
507,Mirinda,ميرندا
510,M&Ms,إم أند إمز
512,Mogu Mogu,موجو موجو
513,Monster,موناستر
517,Mountain Dew,ماونتن ديو
518,Mr. Brown,مستر براون
520,Mr. Muscle,مستر ماسل
522,Nabil,نبيل
524,Nair,ناير
525,Nandos,ناندوس
527,National,ناشيونال
528,Nature's Valley,ناتشر فالي
530,Nectaflor,نكتافلور
532,Nescafé,نسكافيه
533,Nesquik,نسكويك
534,Nestle,نستله
535,Neutrogena,نيوتروجينا
536,Nezo,نيزو
537,Nido,نيدو
541,Nivea,نيفيا
544,Novalac,نوفيلاك
545,Nutella,نوتيلا
551,Ola,علا
552,Olay,أولاي
555,Olitalia,اوليتاليا
557,Omo,أومو
558,Oral-B,أورال بي
559,Oreo,أوريو
561,Orima,أوريما
562,Oryx,أوريكس
566,Pallermo,باليرمو
568,Palmolive,بالموليف
570,Pampers,بامبرز
571,Pantene,بانتين
572,Panzani,بانزاني
575,Parliament,البرلمان
576,Parodontax,بارودونتكس
580,Pearl,بيرل
582,Pediasure,بيدياسور
583,Pedigree,بيديجري
584,Pepperidge Farm,بيبيردج فارم
585,Pepsi,بيبسي
589,Perrier,بيرييه
590,Persil,برسيل
593,Philadelphia,فيلادلفيا
594,Pif Paf,بف باف
595,Pillsbury,بيلسبري
596,Pinar,بينار
599,Pledge,بليدج
600,Plein Soleil,بلين سولي
601,Pocari Sweat,بوكاري سويت
602,Ponds,بوندس
603,Poppen Burger,بوبين برجر
605,President,بريزدنت
606,Pril,بريل
608,Pringles,برينجلز
609,Priya,بريا
610,Promex,برومكس
612,Puck,باك
613,Pukka,بوكا
614,Purefoods,بيورفودز
616,Push Pop,بوش بوب
617,Qatar Oasis,قطر أواسيز
618,Qatar Pafki,قطر بافكي
619,Qbake,كيو بيك
620,QFM,كيو إف إم
621,Quaker,كويكر
624,Raid,ريد
625,Rainbow,رينبو
626,Raw'a,روعة
627,Rayyan,ريان
628,Realemon,ريليمون
631,Red Bull,ريد بول
635,Renuka,رينوكا
636,Revlon,ريفلون
637,Rexona,ريكسونا
640,Rio Mare,ريو ماري
641,Rittersport,ريترسبورت
642,Ritz,ريتز
643,Robinsons,روبنسونز
644,Rosary,روزاري
645,RS,أر إس
646,Saba,سابا
647,Sadia,ساديا
651,Sahtein,صحتين
653,Salonpas,سالونباس
654,Sanita,سانيتا
656,San Pellegrino,سان بيليجرينو
658,Sanytol,سانيتول
660,Schick,شيك
661,Schwarzkopf,شوارزكوف
662,Schweppes,شويبس
663,Scotch Brite,سكوتش برايت
664,Seara,سيرا
665,Sebamed,سيباميد
666,Second house Products,منتجات البيت الثاني
667,Sensodyne,سنسوداين
668,Serene,سيرين
674,Signal,سيجنال
675,Silka,سيلكا
676,Similac,سيميلاك
677,Simply 7,سمبلي 7
678,Siniora,سنيورة
679,Sirella,سيريلا
680,SIS,إس أي إس
681,Skin White,سكين وايت
682,Skittles,سكيتلز
684,Smint,سمينت
685,Snappy Tom,سنابي توم
686,Snickers,سنيكرز
687,Society,سوسايتي
690,Spring Home,سبرينج هوم
691,Spring Pak,سبرينج باك
692,Sprite,سبرايت
694,Starbucks,ستاربكس
695,Starters Luncheon,ستارترز لانشون
696,Staycool,ستاي كول
701,Storck,ستورك
702,Strepsils,ستريبسلز
703,Sunsilk,صانسيلك
705,Sunwhite,صن وايت
708,Sweet 'N Low,سويت أند لوو
709,Syoss,سيوس
710,Tabasco,تاباسكو
711,Tang,تانغ
716,TGI Friday's,تي جي أي فرايدايز
717,Tide,تايد
720,Tilda,تيلدا
723,Toblerone,توبليرون
724,Tresemme,تريزيمي
727,Twinings,توينينجز
728,Twix,تويكس
729,UFC,يو إف سي
730,Ulker,أولكر
733,Vanish,فانش
734,Vaseline,فازلين
735,Vatika,فاتيكا
736,Veet,فيت
737,Vernel,فيرنل
742,Vitamilk,فيتاميلك
744,Volvic,فولفيك
747,Wai Wai,واي واي
748,Walker's,ووكرز
749,Walkers,ووكرز
750,Wattie's,واتيز
752,Weetabix,ويتابيكس
753,Wella,ويلا
754,Whifflez,ويفلز
755,Whiskas,ويسكاس
756,Whittakers,ويتاكرز
758,Wrigleys,ريجلي
759,Yak,ياك
761,Yara,يارا
762,Yardley,ياردلي
763,YC,واي سي
765,Yoko,يوكو
766,York,يورك
767,Zaini,زيني
772,Zwan,زوان
774,Haldirams,هالديرامز
776,M.Y.SAN,ام واي سان
777,Aseel,أصيل
778,137DEGREES,137 ديجري
779,Alpro,ألبرو
781,Datu Puti,داتو بوتي
782,Dorset Cereals, دورست سيريال
789,Wooden Bakery,وودن بيكري
800,Private,برايفت
801,Panadol,بانادول
803,Original Gourmet,اوريجينال جورميه
805,Green's,جرين
806,Hitschler,هيتشلر
808,Labello,لابيلو
809,Lavazza,لافاتزا
810,Les Filous,ليه فيلوس
812,Magnum,ماجنم
813,Maltesers,مالتيزر
817,Mexilla,مكسيلا
819,Modess,مودس
823,5Star,فايف ستار
824,Al Aga,الآغا
825,Al Noor,النور
830,Reese's,ريسز
