Brands,Brand name arb,Brands ID
Fruiti-O,فروتي- O,8384
Frutti,فروتي,8385
Fun,فن,8386
Gafle,جافل,8387
Gallette,جاليت,8388
Gallo,جالو,8389
Garofalo,جاروفالو,8390
Genius Gourmet,جينيس جورميه,8391
Glad,جلاد,8392
Golden Choice,جولدن تشويز,8393
Golden Glory,جولدن جلوري,8394
Goody,جوودي,8395
Gourmet Foods,جورميت فودز,8396
Granarolo,جرانارولو,8397
Green Cola,جرين كولا,8398
Green Island,جرين أيسلاند,8399
Green Palm Tree,جرين بالم تري,8400
Green World,جرين وورلد,8401
Gullon,قولن,8402
Gummi King,جامي كينج,8403
Gurimi,جوريمي,8404
Guylian,جويليان,8405
Habanjar,هبنجر,8406
Habro Goodbye,هابرو جودباي,8407
Hajdu,هاجدو,8408
Hala,هاله,8409
Halabi,حلبي,8410
Hansaplast,هانسابلاست,8411
Happy Cow,هابي كاو,8412
Happy Egg,هابي إيج,8413
Happy Gardens,هابي جاردنز,8414
Happy Land,هابي لاند,8415
Hartz,هارتز,8416
Hawaiian Tropic,هاواي تروبيك,8417
Healthy Nut Butters,هيلثي نت باتر,8418
HeartLight,هارت لايت,8419
Hectare's,هكتار,8420
Himalayan,هيمالايا,8421
Himani,هيماني,8422
Hipp,هيب,8423
Hortex,هورتكس,8424
Hotpack,هوت باك,8425
Hunt's,هانت,8426
I.Envy,إنفي أي,8427
Ile De France,إيل دو فرانس,8428
Illuma,إلوما,8429
Impress,إمبريس,8430
Imya,إميا,8431
Interhalco,انترهالكو,8432
ION,أيون,8433
Jack Link's,جاك لينك,8434
Jacky,جاكي,8435
Jacques Bogart,جاك بوجارت,8436
Jana,جنا,8437
Jax Coco,جاكس كوكو,8438
Jelly Belly,جيلي بيلي,8439
John West,جون ويست,8440
Jolen,جولين,8441
Joy,جوي,8442
Juss,جوس,8443
Justine's,جوستين,8444
Kahve dunyasi,لافي دنباسي,8445
Kalyon,كاليون,8446
Karak Tea,كاراك تي,8447
Kassatly Chtaura,قساطلي شتورة,8448
Kaval,كافال,8449
Kemal Kukrer,كمال كوكرر,8450
Khadlaj,خدلاج,8451
Kifco,كيفكو,8452
King Fish,كينج فيش,8453
Kiss,كيس,8454
Kitekat,كيت كات,8455
Kleen King,كلين كينج,8456
Kleercare,كلير كير,8457
Knoppers,كنوبرز,8458
K&N's,K & N's,8459
Kodomo,كودومو,8460
Koska,كوسكا,8461
Kurukahveci,كوروكاهفيتشي,8462
Kuwait Flour Mills & Bakeries,مطاحن الدقيق والمخابز الكويتية,8463
Kuwait Food company,شركة الكويت للأغذية,8464
Kwik,كويك,8465
Lacasitos,لاكاسيتوس,8466
Lady Care,ليدي كير,8467
Lady Speed Stick,ليدي سبيد ستيك,8468
Lamsa,لمسة,8469
Latbri,لاتبري,8470
La Valle,لا فال,8471
Lazaya,لازايا,8472
Laziza,لذيذة,8473
Le Chat,لو شات,8474
Leeza,ليزا,8475
Legurme,ليجورم,8476
Lemnos,ليمنوس,8477
Le Moulin,لو مولان,8478
Lesieur,ليسيور,8479
Les Repas Plaisir,لو ريبا بليزير,8480
L'exquis,ليككسيس,8481
Lify,ليفي,8482
Logex,لوجيكس,8483
Lohilo,لوهيلو,8484
LOL Surprise!,لول سربرايز,8485
Loyd,لويد,8486
Lu,لو,8487
Lu-Blue,لو بلو,8488
Lu-Green,لو جرين,8489
Maatouk,معتوق,8490
Mabrook,مبروك,8491
Mad Chips,ماد شيبس,8492
Maestro,مايسترو,8493
Magic Chef,ماجيك شيف,8494
Magic Time,ماجيك تايم,8495
Magnolia,ماغنوليا,8496
Mai,ماي,8497
Maille,مايل,8498
Majdi,مجدي,8499
Malie,مالي,8500
Manuka Lab, مانوكا لاب,8501
Marlenka,مارلينكا,8502
Matilde Vicenzi,ماتيلدا فيتشنزي,8503
Maxime Mastroianni,ماكسيم ماستروياني,8504
Maxim's,مكسيم,8505
MBeauty,ام بيوتي,8506
Meadows,ميادوس,8507
Mechelany Foods,ميشيلاني فودز,8508
Medica,ميديكا,8509
Mega,ميجا,8510
Mega Premium,ميجا بريميوم,8511
Melino,ميلينو,8512
Meow Mix,مياو ميكس,8513
Merci,ميرسي,8514
Merito,مريتو,8515
Mike and Ike,مايك آند آيك,8516
Milka,ميلكا,8517
Milkybar,ميلكي بار,8518
Millimed,مليميد,8519
Mimosa,الميموزا,8520
Mistdress,ميست دريس,8521
Mister Free'd,مستر فريد,8522
Mivana,ميفانا,8523
Mizo,ميزو,8524
Monin,مونين,8525
Monini,مونيني,8526
Monte Christo,مونتي كريستو,8527
Mood,موود,8528
Mother Nature,ماذر ناتشر,8529
Mounir,منير,8530
Mr. Mallo,مستر مالو,8531
M&S Food,M&S فوود,8532
Mural de Ruitz,مورال دي رويتز,8533
Murgella,مورجيلا,8534
My Protien Bites,ماي بروتين بايتس,8535
Myrah,ميرا,8536
Nabat Organic,نبات أورجانيك,8537
Nabeghlavi,نبغلافي,8538
Nabil,نبيل,8539
Nafahat,نفحات,8540
Nail Mate,نيل ميت,8541
Nakheel,نخيل,8542
NAN,نان,8543
Nano Supps,نانو سابس,8544
Napeez,نابيز,8545
Napico,نابيكو,8546
Nart,نارت,8547
Natura,ناتورا,8548
Natural,ناتشيورال,8549
Natural Aid,ناتشيورال إيد,8550
Nature Is Tasty,ناتشر إز تاستي,8551
Natures Aid,ناتشر إيد,8552
Nature's Bounty,ناتشر بونتي,8553
Nawara,نوارة,8554
Nest,نست,8555
Neutrevo,نيوتريفو,8556
Noor,نور,8557
Novell,نوفيل,8558
Nuland,نولاند,8559
Nur Jahan,نور جهان,8560
Nutty Rico,نتي ريكو,8561
Oatein,اوتين,8562
Ocean Drive,أوشن درايف,8563
Ocean Fish,أوشن فيش,8564
Odex,أوديكس,8565
Old El Paso,أولد إلباسو,8566
Optimal,أوبتيمال,8567
Oriental Chef,أورينتال شيف,8568
Oro,أورو,8569
Orvital,أورفيتال,8570
Ovvio,أوففيو,8571
Oxygizer,أوكسيجيزر,8572
Ozmo,أوزمو,8573
Palmi,بالمي,8574
Pam,بام,8575
Papillon,بابيون,8576
Paramount,بارامونت,8577
Parmareggio,بارمارجيو,8578
,,8579
Paysan,بايسان,8580
Peo po,بيو بو,8581
Pereg,بيريج,8582
Pert,بيرت,8583
Peter Pan,بيتر بان,8584
Peyman,بيمان,8585
Pezzullo,بيزولو,8586
Pigeon,بيجون,8587
Pike,بايك,8588
Pik-Nik,بيك نيك,8589
Pine-Sol,باين سول,8590
Police,بوليس,8591
Polif,بوليف,8592
Polo,بولو,8593
Pomi,بومي,8594
Pondan,بوندان,8595
Post,بريد,8596
Powercrunch,باور كرانش,8597
Prime Harvest Mazedar,برايم هارفست مازيدار,8598
Pritty Cosmetics,مستحضرات التجميل بريتي,8599
Probios,بروبيوس,8600
Profoot,بروفوت,8601
Pruva,بروفا,8602
Punjab Garden,بنجاب جاردن,8603
Pura,بورا,8604
Pure-Aid,بيور إيد,8605
Purefit,بيورفيت,8606
Purina,بيورينا,8607
Puro,بيورو,8608
Q.B.B,كيو. بي.بي,8609
Q.T,كيو. تي,8610
Qahwa,قهوة,8611
Qatarat,قطرات,8612
Qettaf Alkher,قطاف الخير,8613
Quality Street,كواليتي ستريت,8614
Quattro Colli,كواترو كولي,8615
Queen,كوين,8616
Rabee,ربيع,8617
Raffaello,رافايللو,8618
Raha Food,راحة فود,8619
Ramzy Al-Assel,رمزي الأصيل,8620
Rapunzel,رابونزيل,8621
Rasasi,رصاصي,8622
Rauch,راوخ,8623
Raw,رو,8624
Rayner's,راينر,8625
RDL,RDL,8626
ReaLemon,ريليمون,8627
Regal Picon,ريجال بيكون,8628
Relkon,ريلكون,8629
Remia,ريميا,8630
Reneva,رينيفا,8631
Robby,روبي,8632
Robert,روبرت,8633
Rosie's Ross,روسي روس,8634
Royal Crown,رويال كراون,8635
Royal Umbrella,رويال أمبريلا,8636
Rozana,روزانا,8637
Ruffles,رفلز,8638
Sacla,ساكلا,8639
Safcol,سافكول,8640
Safeco Trading,سافكو تريدنج,8641
Saf-Instant,ساف إنستانت,8642
Safiya,صفية,8643
Saitaku,سايتاكو,8644
Saladitos,سالاديتوس,8645
Salloum Bros.,سلوم بروس,8646
Samyang,ساميانغ,8647
San Carlo,سان كارلو,8648
Sani-Q,ساني- كيو,8649
Sanitarium,سانيتاريوم,8650
Sannine,صنين,8651
Santa Bremor,سانتا بريمور,8652
Sante,سانتي,8653
Sapil,سابيل,8654
Sara,سارا,8655
Sarelle,ساريل,8656
Sashapure,ساشابيور,8657
Savex,سافيكس,8658
Scentique,سينتيك,8659
Schar,شار,8660
Scholl,شول,8661
Schone,شون,8662
Seacod,سي كود,8663
Sea Dolphin,سي دولفين,8664
Segmen,سيجمين,8665
Seitenbacher,سيتنباخر,8666
Selezione,سيليزيوني,8667
Selfosis,سيلفوسيس,8668
Septima,سبتيما,8669
Sera,سيرا,8670
Sesu,سيسو,8671
Seyidoglu,سيدوغلو,8672
Shaheen Energy Drink,شاهين إنرجي درنك ,8673
Shams Chtaura,شمس شتورة,8674
Shani,شاني,8675
Sheba,شيبا,8676
Shezan,شيزان,8677
Siblou,سيبلو,8678
Signature,سيجنتشر,8679
Silver Birch,سلفر بيرش,8680
Silver Care,سلفر كير,8681
Silver Swan,سلفر سوان,8682
Simple,سمبل,8683
Sipa,سيبا,8684
Sleepy,سليبي,8685
Snackits,سناكتس,8686
Sno Pac,سنو باك,8687
Snow Flush,سنو فلش,8688
Sofia,صوفيا,8689
Soft,سوفت,8690
Softy,سوفتي,8691
Sohar,سوهار,8692
Sohat,سوهات,8693
Solo Pomodoro Mutti,سولو بومودورو موتي,8694
SOS,سوس,8695
Soupline,سوبلين,8696
Soyfresh,صويا فريش,8697
Spartan,سبارتان,8698
Speed Stick,سبيد ستيك,8699
Star,ستار,8700
Starburst,ستار برست,8701
St. Dalfour,سانت دالفور,8702
Sudocrem,سودوكريم,8703
Sugar In The Raw,شوجر إن ذا رو,8704
Sultan,سلطان,8705
Sun Cola,صن كولا,8706
Sun Dip,صن ديب,8707
Sunlight,صن لايت,8708
Sunquick,صن كويك,8709
Sun Top,صن توب,8710
Super-Max,سوبر ماكس,8711
SuperOrtho,سوبر أورثو,8712
Sure-Aid,شور إيد,8713
Sweet,سويت,8714
Swiss Image,سويس ايميج,8715
Switz,سويتز,8716
Synaa,سيناا,8717
Tadelle,تاديل,8718
Talenti,تالنتي,8719
Tannous,طنوس,8720
Taqa,طاقة,8721
Tchibo,تشيبو,8722
Texas Pete,تكساس بيت,8723
Thai-Choice,تاي تشويس,8724
The Berry Company,شركة بيري,8725
The Cheeky Panda,ذا شيكي باندا,8726
The Humble Co.,شركة ذا هامبل ,8727
Theramed,ثيراميد,8728
The Skinny Food Co.,شركة ذا سكيني فود,8729
Thomas,توماس,8730
Tiger,تايجر,8731
Tiger Pet,تايجر بت,8732
Tippy's,تيبي,8733
Tomex,توميكس,8734
Tong Garden,تونج جاردن,8735
Tony's Food,توني فود,8736
Top Juice,توب جوس,8737
Tora Bika,تورا بيكا,8738
Tox,توكس,8739
TRDP Mario,TRDP ماريو,8740
Trento,ترينتو,8741
Trill,تريل,8742
Tropicana Slim,تروبيكانا سليم,8743
Tuc,توك,8744
Tuneib,طنيب,8745
Ulric De Varens,أولريك دي فارينز,8746
Ultra,ألترا,8747
Unica,يونيكا,8748
Vegeta,فيجيتا,8749
Vibgyor,فيبجيور,8750
Villa Grimelli,فيلا جريميلي,8751
Vimto,فيمتو,8752
Vitamin C,فيتامين سي,8753
Vitress,فيتريس,8754
Vive,فايف,8755
V-Min Gold,في - مين جولد,8756
Vodavoda,فودافودا,8757
Volys,فوليس,8758
Voss,فوس,8759
V-Pack,في باك,8760
V-Soy,في سوي,8761
Warheads,وار هيدز,8762
Waterwipes,ووتر وايبس,8763
Well's,ويلز,8764
White Kiss,وايت كيس,8765
Wyeth,ويث,8766
Xochitl,زوتشيتل,8767
Yac,ياك,8768
Yamama,يا ماما,8769
Yayla,يايلا,8770
Yerba Mate,يربا ماتي,8771
Youthful Living,يوثفول ليفينج,8772
Yum Earth,يم ايرث,8773
Yummy,يامي,8774
Zaatar,زعتر,8775
Zain,زين,8776
Zero Frizz,زيرو فريز,8777
Zeytin,زيتين,8778
Zimi,زيمي,8779
Zorbas,زورباس,8780
Zott,زوت,8781
